OrderId,OrderProduct,OrderTime,OrderPrice,CustomerId
1,Fringed False Hellebore,23:47:00,$437846990.33,1
2,Script Lichen,1:48:28,$863154996.33,2
3,Sharpnut Cryptantha,19:41:45,$117383031.56,3
4,Cowpea,1:10:56,$424125503.58,4
5,Beautiful Rockcress,9:24:56,$457731519.09,5
6,Turkey Berry,2:08:17,$444306872.12,6
7,Hoffmann's Buckwheat,14:07:25,$852328857.86,7
8,Scouler's Surfgrass,21:53:07,$939438184.88,8
9,Idaho Sedge,2:11:49,$583383129.19,9
10,Yerba De Pasmo,13:16:27,$955052768.72,10
11,Utah Bladderfern,11:07:27,$85898254.02,11
12,Tundra Aster,19:40:02,$376910578.27,12
13,Broadtooth Lady's Mantle,18:11:17,$357889501.34,13
14,European Gooseberry,10:45:19,$64689481.76,14
15,Benitoa,0:04:17,$647152044.80,15
16,Slender-leaf Sandwort,8:24:59,$77931466.92,16
17,Serrated Tussock,19:30:34,$446372503.99,17
18,Mountain Cyrtandra,10:02:43,$616248688.54,18
19,Texas Yucca,12:27:00,$690564533.84,19
20,Tripleleaf Morning-glory,6:00:15,$102681020.70,20
21,Triploid Fern,16:01:26,$755563393.40,21
22,Callaway Milkvetch,19:05:30,$396598540.15,22
23,Serrate Ptychomitrium Moss,10:31:37,$496924941.22,23
24,May Hawthorn,19:52:56,$570930408.62,24
25,Clarkton Hawthorn,16:57:22,$183761358.73,25
26,Elmer's Lupine,22:14:10,$290999099.32,26
27,Mallee Saltbush,10:31:41,$723973086.53,27
28,European Bur-reed,23:30:07,$867180912.91,28
29,Eggyolk Lichen,7:33:40,$432517742.79,29
30,Puffcalyx Gilia,9:12:23,$229255263.30,30
31,Malaysian Apple,17:46:55,$168389413.04,31
32,Northland Cottonsedge,14:05:47,$674182905.39,32
33,Bayberry,14:23:28,$316574282.52,33
34,Twoflower Violet,4:33:54,$223150372.45,34
35,Hawai'i Potato Fern,16:58:33,$192700538.19,35
36,Honeysuckle,0:16:56,$612096529.60,36
37,Alderleaf Mountain Mahogany,18:55:33,$830040933.89,37
38,Variable Orange Lichen,19:25:05,$414195714.90,38
39,Sweet William Silene,10:05:01,$962138582.06,39
40,Rollandia,23:35:52,$603519232.02,40
41,Compact Prairie Clover,9:09:12,$725306357.08,41
42,Hybrid Ladyslipper,0:36:52,$925307927.40,42
43,Capitan Mountains Alumroot,5:35:22,$29254902.05,43
44,Panicled Hydrangea,23:17:02,$200787458.13,44
45,Hornbeam,17:49:27,$716746984.90,45
46,Downy Alpine Oatgrass,10:56:54,$980322517.88,46
47,Slender Sedge,9:48:40,$648882865.31,47
48,Limestone Goldenrod,4:13:27,$74048233.61,48
49,Simple Bog Sedge,3:04:22,$242889607.16,49
50,Hourglass Peaseed,18:06:43,$546993532.98,50
51,Mountain Oxeye,8:53:13,$789957977.65,51
52,White Goldenrod,8:22:58,$294349526.47,52
53,Brewer's Snapdragon,2:21:11,$956829416.56,53
54,Mccart's Nailwort,18:48:45,$92391774.53,54
55,Clubmoss,1:04:57,$915310898.00,55
56,Payson's Tansymustard,23:09:33,$303478046.29,56
57,Pestilence Wort,2:11:05,$828753275.13,57
58,Olympic Mountain Ragwort,13:45:36,$333431440.18,58
59,Subalpine Fleabane,22:49:11,$603385698.27,59
60,Apalachicola Doll's Daisy,4:29:14,$557698808.03,60
61,Bunched Arrowhead,18:48:23,$197894940.21,61
62,Narrowleaf Water-starwort,6:39:25,$140293756.03,62
63,Thorny Olive,8:31:30,$308863493.49,63
64,Green Phlox,13:58:19,$921805482.73,64
65,Coco Yam,19:59:02,$371542901.17,65
66,Coastal Plain Crownbeard,2:03:46,$579871193.28,66
67,Blue Fieldmadder,18:25:25,$83137073.33,67
68,Cream Pincushions,7:53:24,$914320709.51,68
69,Obscure Map Lichen,12:04:15,$130664583.43,69
70,Raspwort,20:30:57,$665076003.86,70
71,Spider Plant,14:44:00,$667766834.82,71
72,Turpentine Weed,21:36:40,$759014708.64,72
73,Renealmia,8:09:16,$918288503.65,73
74,Bully,12:36:15,$356079740.95,74
75,Dot Lichen,13:15:19,$106864570.77,75
76,Alpine Collomia,8:40:19,$490963683.65,76
77,Cola,21:03:00,$382102382.71,77
78,Mayacamas Popcornflower,23:41:16,$711352944.06,78
79,Maui Clermontia,11:27:04,$29231655.50,79
80,Sponge Gourd,13:08:33,$449095042.73,80
81,Vesicarpa,8:24:03,$926545798.72,81
82,Carolina Foxtail,7:45:01,$315462168.78,82
83,Makaha Valley Melicope,17:42:49,$849437705.72,83
84,Slendertube Skyrocket,12:17:12,$248350872.16,84
85,Stinking Camphorweed,19:44:12,$745182893.24,85
86,Lone Fleabane,19:56:51,$851708694.38,86
87,Low Spikesedge,11:25:38,$438989807.92,87
88,Puntaj Jayuya,13:57:49,$158842221.58,88
89,Powell's Amaranth,22:11:12,$980269505.64,89
90,Plagiothecium Moss,19:53:21,$583444273.64,90
91,Jelly Palm,19:43:09,$219434626.94,91
92,Inkwood,18:53:48,$36157976.43,92
93,Pinninerve Peperomia,18:30:22,$655369261.83,93
94,West Indian Starwort,7:02:50,$963464044.07,94
95,Lecania Lichen,10:09:32,$228732415.71,95
96,Browneyed Susan,16:05:09,$498402378.80,96
97,Shadscale Saltbush,3:38:19,$586711917.96,97
98,Liverleaf Wintergreen,20:36:01,$436180724.49,98
99,Payson's Beardtongue,9:06:05,$754394105.34,99
100,Seaside Dock,22:14:47,$297160306.38,100
101,Foothill Larkspur,6:53:55,$405880669.88,101
102,Spotted Asian Poppy,23:26:13,$796290760.90,102
103,Colorado Tansyaster,13:09:33,$112966967.97,103
104,Frosted Indian Paintbrush,0:48:44,$815845141.35,104
105,Tawny Cottongrass,19:31:01,$913000862.68,105
106,Hairy Bluestem,23:21:19,$325282493.24,106
107,Western White Clematis,10:50:02,$115134817.60,107
108,Spotted Water Hemlock,22:52:32,$646886667.81,108
109,Philadelphia Panicgrass,5:13:49,$311551156.07,109
110,Camasey Tomaso,1:21:10,$580501433.37,110
111,Wright's Prairie Clover,23:35:13,$48464755.86,111
112,Soft Phacelia,11:18:33,$584984398.47,112
113,New Mexican Fontinalis Moss,17:31:22,$794777651.45,113
114,Southern Flatsedge,10:40:51,$325146033.16,114
115,Erpodium Moss,0:51:37,$682144786.09,115
116,Scarlet Bottlebrush,0:41:06,$190550798.86,116
117,Southeastern Primrose-willow,8:44:21,$13685220.64,117
118,Cotta Grass,0:26:45,$603197823.72,118
119,Sasswood,8:39:26,$487438145.43,119
120,Yuma Browneyes,14:24:52,$357016021.06,120
